id,author,author_authorized_heading,author_lccn,author_viaf,author_wikidata,best_rank,debut_rank,first_week,oclc,oclc_eholdings,oclc_holdings,oclc_isbn,oclc_owi,title,total_weeks,year
4613,Thomas Mann,"Mann, Thomas, 1875-1955",n78095625,54151065,Q37030,1,4,9/2/40,302542,91,4072,,4714372367,THE BELOVED RETURNS,7,1940
4614,Hall Hunter,"Hunter, Hall, 1894-1967",no2002029388,73518369,,16,16,6/22/52,4277371,11,112,,12150583,THE BENGAL TIGER,1,1952
4615,edited by John Updike and Katrina Kenison,,,,,15,16,4/25/99,,,,,,THE BEST AMERICAN SHORT STORIES OF THE CENTURY,3,1999
4616,Sidney Sheldon,"Sheldon, Sidney,",n80032212,100259983,Q105118,2,2,9/21/97,36556116,142,3507,0688149111,546117,THE BEST LAID PLANS,10,1997
4617,Rona Jaffe,"Jaffe, Rona",n78081220,97929299,Q536861,6,15,9/21/58,58422879,142,754,0143035290,278208806,THE BEST OF EVERYTHING,20,1958
4618,Nicholas Sparks,"Sparks, Nicholas",n93080658,117604749,Q219377,1,1,10/30/11,740595318,384,6245,9.78045E+12,920119672,THE BEST OF ME,17,2011
4619,Stephen White,"White, Stephen, 1951-",n88616177,85314607,Q3292072,8,8,2/23/03,49719198,151,2216,0385336195,20284263,THE BEST REVENGE,1,2003
462,Dan Brown,,,,,4,14,1/18/04,,,,,,ANGELS & DEMONS,40,2004
4620,selected by Caroline Kennedy,,,,,4,4,10/21/01,,,,,,THE BEST-LOVED POEMS OF JACQUELINE KENNEDY ONASSIS,12,2001
4621,selected by Caroline Kennedy,,,,,12,12,11/18/01,,,,,,THE BEST-LOVED POEMS OF JACQUELINE KENNEDY ONASSIs,3,2001
4622,Harold Robbins,"Robbins, Harold, 1916-1997",n79109317,100259954,Q531563,6,8,12/12/71,219594,135,980,0671270869,1318893,THE BETSY,21,1971
4623,James Patterson,"Patterson, James, 1947-",n78086409,22272314,Q311671,2,2,12/7/03,52478614,488,5147,0316602906,196777716,THE BIG BAD WOLF,10,2003
4624,Rita Mae Brown and Sneaky Pie Brown,,,,,14,14,4/22/12,,,,,,THE BIG CAT NAP,1,2012
4625,Lloyd C. Douglas,"Douglas, Lloyd C. (Lloyd Cassel), 1877-1951",n85335454,76521596,Q1318617,1,7,11/28/48,168190,60,2361,,467341,THE BIG FISHERMAN,62,1948
4626,Janet Evanovich and Peter Evanovich,,,,,8,8,5/26/19,,,,,,THE BIG KAHUNA,3,2019
4627,John O'Hara,"O'Hara, John, 1905-1970",n79060653,12429524,Q548345,7,9,6/3/62,291008,51,1021,,265759203,THE BIG LAUGH,14,1962
4628,John Dos Passos,"Dos Passos, John, 1896-1970",n80001431,41839211,Q312407,4,5,8/17/36,34531669,57,1302,,1426429,THE BIG MONEY,8,1936
4629,Douglas Kennedy,"Kennedy, Douglas, f. 1955",nr90025080,114056777,Q473030,11,11,4/27/97,35701181,45,1669,078686298X,568371,THE BIG PICTURE,1,1997
463,Debbie Macomber,"Macomber, Debbie",n84140978,79125942,Q3704362,9,9,11/11/12,799253976,360,3126,9.78035E+12,1122411812,ANGELS AT THE TABLE,3,2012
4630,A.B. Guthrie Jr,"Guthrie, A. B., Jr. (Alfred Bertram), 1901-1991",n79117253,109374827,Q278543,4,12,5/25/47,49356082,47,2777,0618154639,49032620,THE BIG SKY,21,1947
4631,John Brooks,"Brooks, John, 1920-1993",n79063009,62709532,Q6223379,12,13,9/18/49,3351641,1,197,,365794838,THE BIG WHEEL,3,1949
4632,Len Deighton,"Deighton, Len",n79075579,273905397,Q505274,7,8,1/30/66,1074396,115,1424,0224610031,2033160,THE BILLION DOLLAR BRAIN,13,1966
4633,Paul Emil Erdman,,,,,3,7,8/5/73,,,,,,THE BILLION DOLLAR SURE THING,23,1973
4634,Elizabeth Goudge,"Goudge, Elizabeth, 1900-1984",n79076714,24602168,Q242571,5,5,5/27/40,3022680,43,1040,,59974853,THE BIRD IN THE TREE,6,1940
4635,John Masefield,"Masefield, John, 1878-1967",n80067094,68945598,Q471413,2,2,1/1/34,288963,3,734,,3943336664,THE BIRD OF DAWNING,1,1934
4636,Rebecca West,"West, Rebecca, 1892-1983",n79100227,108321467,Q236669,3,8,10/30/66,188193,143,2294,,20679400,THE BIRDS FALL DOWN,25,1966
4637,Rafael Sabatini,"Sabatini, Rafael, 1875-1950",n50016255,22176198,Q345104,15,15,9/23/45,1498686,1,216,,2431631,THE BIRTH OF MISCHIEF,2,1945
4638,Sarah Dunant,"Dunant, Sarah",n85142696,90718533,Q274500,9,15,3/7/04,52268659,147,3126,1400060737,32775,THE BIRTH OF VENUS,9,2004
4639,Thorne Smith,"Smith, Thorne, 1892-1934",n87139667,34665603,Q2428988,2,2,11/7/32,3401275,80,272,,1967921,THE BISHOP'S JAEGERS,5,1932
464,Nora Roberts,"Roberts, Nora",n84034440,66448023,Q231356,1,1,7/30/06,65167394,346,4917,9.7804E+12,48842926,ANGELS FALL,8,2006
4640,Agnes Sligh Turnbull,"Turnbull, Agnes Sligh, 1888-1982",n80005214,79298447,Q394646,5,14,11/23/47,223182,15,1272,,1330644,THE BISHOP'S MANTLE,38,1947
4641,Steve Berry,"Berry, Steve, 1955-",n2003041194,85545256,Q225089,5,5,4/8/18,983823841,82,2731,9.78125E+12,4528059044,THE BISHOP'S PAWN,2,2018
4642,Tami Hoag,"Hoag, Tami,",n90630178,85444183,Q1683201,9,9,1/31/16,913098295,248,2322,9.78053E+12,2749542864,THE BITTER SEASON,3,2016
4643,C.J. Box,"Box, C. J.",no98092865,102403163,Q856006,3,3,9/1/19,1088671895,130,3098,9.78125E+12,5607953836,THE BITTERROOTS,3,2019
4644,Jay Walz,"Walz, Jay",no2012154208,293541140,,10,11,5/28/50,1021846,1,206,,1950133,THE BIZARRE SISTERS,13,1950
4645,James Patterson and David Ellis,,,,,1,1,4/16/17,,,,,,THE BLACK BOOK,7,2017
4646,Lawrence Durrell,,,,,11,11,10/9/60,364170,194,1624,0525471154,1421723,THE BLACK BOOK,6,1960
4647,Michael Connelly,"Connelly, Michael, 1956-",n91020332,19745715,Q313193,2,2,12/16/12,776523516,515,4271,9.78032E+12,350560577,THE BLACK BOX,6,2012
4648,Martha Grimes,"Grimes, Martha",n81051185,22962196,Q188286,8,8,4/25/10,429750081,234,2703,9.78067E+12,345899355,THE BLACK CAT,1,2010
4649,Joseph Wambaugh,"Wambaugh, Joseph",n50026486,110352691,Q1352236,3,15,1/1/78,3274343,244,1729,044000523X,572730,THE BLACK MARBLE,18,1978
465,Michael Connelly,"Connelly, Michael, 1956-",n91020332,19745715,Q313193,9,12,1/17/99,39275880,472,4107,0316152196,2272395,ANGELS FLIGHT,6,1999
4650,Erich Maria Remarque,"Remarque, Erich Maria, 1898-1970,",n84223789,61551298,Q47293,8,11,4/28/57,296032,53,1003,0151131813,4820872332,THE BLACK OBELISK,9,1957
4651,Thomas B. Costain,"Costain, Thomas B. (Thomas Bertram), 1885-1965",n50018153,97749233,Q4235282,1,7,9/16/45,168057,53,2060,9.78157E+12,287409395,THE BLACK ROSE,39,1945
4652,Rafael Sabatini,"Sabatini, Rafael, 1875-1950",n50016255,22176198,Q345104,2,2,5/30/32,3303078,36,228,,3062931,THE BLACK SWAN,3,1932
4653,Daniel Silva,"Silva, Daniel, 1960-",n96056686,101089301,Q712596,1,1,7/31/16,946965463,260,3608,9.78006E+12,2977638282,THE BLACK WIDOW,7,2016
4654,Marilyn French,"French, Marilyn, 1929-2009",n79122619,85933013,Q271931,4,15,3/30/80,5677333,223,1724,067144784X,197414539,THE BLEEDING HEART,16,1980
4655,Nancy Mitford,"Mitford, Nancy",n50034891,32000532,Q260026,8,9,10/28/51,180216,90,1602,,1321034,THE BLESSING,14,1951
