htid	author	author_authorized_heading	author_lccn	author_viaf	author_wikidata_qid	best_rank	debut_rank	first_week	hathi_rights	isbn	oclc	oclc_eholdings	oclc_holdings	oclc_owi	title	title_id	year
pst.000033362915	Sue Grafton	Grafton, Sue	n81098191	113386374	Q234865	1	10	1995-09-17	ic		33894149	183	5276	6837998	"""L"" IS FOR LAWLESS"	4	1995
mdp.39015053378256	Sue Grafton	GRAFTON, SUE	n81098191	113386374	Q234865	1	14	2001-06-24	ic	0786229489	46918038	399	5421	881672	"""P"" IS FOR PERIL"	7	2001
mdp.39015040572409	Dick Francis	Francis, Dick	n79135492	24601518	Q314929	5	4	1997-10-12	ic	0718142888	37781088	270	3080	539074	10 LB. PENALTY	13	1997
uc1.b4421473	Gerald A. Browne	Browne, Gerald A.	n50042826	36915445	Q5548861	10	1	1982-09-05	ic	0877954135	8650606	147	848	288000104	19 PURCHASE STREET	24	1982
mdp.39015060875179	Bebe Moore Campbell	Campbell, Bebe Moore, 1950-2006	n85289344	85651926	Q4878309	11	15	2005-07-17	ic	1400040744	56329654	152	1595	217664426	72 HOUR HOLD	41	2005
uc1.b4975998	M. Scott Peck	Peck, M. Scott (Morgan Scott), 1936-2005	n78044338	109031056	Q663928	13	10	1990-09-16	ic	0553070037	21196799	95	1263	57888609	A BED BY THE WINDOW	48	1990
mdp.39015008165196	Elie Wiesel	Wiesel, Elie, 1928-2016	n79039905	108176447	Q18391	8	5	1970-03-22	ic		58221	99	2447	600433	A BEGGAR IN JERUSALEM	49	1970
pst.000025930993	Elie Wiesel	Wiesel, Elie, 1928-2016	n79039905	108176447	Q18391	8	5	1970-03-22	ic	0805207783	11344198	99	2447	600433	A BEGGAR IN JERUSALEM	49	1970
mdp.39015025036917	John Hersey	Hersey, John, 1914-1993	n79054652	105148984	Q535812	2	4	1944-03-05	nobody|ic		284933	101	4337	49918858	A BELL FOR ADANO	50	1944
mdp.39015049779740	John Hersey	Hersey, John, 1914-1993	n79054652	105148984	Q535812	2	4	1944-03-05	nobody|ic		284933	101	4337	49918858	A BELL FOR ADANO	50	1944
pst.000030860100	John Hersey	Hersey, John, 1914-1993	n79054652	105148984	Q535812	2	4	1944-03-05	ic		38263689	101	4337	49918858	A BELL FOR ADANO	50	1944
mdp.39015012833763	John Hersey	Hersey, John, 1914-1993	n79054652	105148984	Q535812	2	4	1944-03-05	ic		30317753	101	4337	49918858	A BELL FOR ADANO	50	1944
mdp.39076006266766	John Hersey	Hersey, John, 1914-1993	n79054652	105148984	Q535812	2	4	1944-03-05	ic		3009981	101	4337	49918858	A BELL FOR ADANO	50	1944
uc1.32106013836868	Joan Didion	Didion, Joan	n78089822	100261335	Q267691	8	1	1977-04-24	ic	0679754865	31434375	149	2642	8841355	A BOOK OF COMMON PRAYER	54	1977
mdp.39015003930461	Rumer Godden	Godden, Rumer, 1907-1998	n79063768	110463979	Q434735	11	12	1951-02-25	und		285952	11	1081	57066713	A BREATH OF AIR	55	1951
uc1.$b102642	Rumer Godden	Godden, Rumer, 1907-1998	n79063768	110463979	Q434735	11	12	1951-02-25	und		285952	11	1081	57066713	A BREATH OF AIR	55	1951
mdp.39015062594760	Diana Gabaldon	Gabaldon, Diana	n90697072	40164873	Q272492	1	2	2005-10-16	ic	0385324162	61280307	512	3902	686253194	A BREATH OF SNOW AND ASHES	56	2005
uc1.$b101955	Graham Greene	Greene, Graham, 1904-1991	n79021903	59083415	Q128560	3	1	1961-02-26	ic|und		365954	80	3762	49051517	A BURNT-OUT CASE	58	1961
mdp.39015000618572	Graham Greene	Greene, Graham, 1904-1991	n79021903	59083415	Q128560	3	1	1961-02-26	ic|und		365954	80	3762	49051517	A BURNT-OUT CASE	58	1961
mdp.39015000618663	Graham Greene	Greene, Graham, 1904-1991	n79021903	59083415	Q128560	3	1	1961-02-26	ic|und		365954	80	3762	49051517	A BURNT-OUT CASE	58	1961
mdp.49015001344689	Graham Greene	Greene, Graham, 1904-1991	n79021903	59083415	Q128560	3	1	1961-02-26	ic		222927017	80	3762	49051517	A BURNT-OUT CASE	58	1961
inu.39000003569436	Graham Greene	Greene, Graham, 1904-1991	n79021903	59083415	Q128560	3	1	1961-02-26	ic	0434305642	1380611	80	3762	49051517	A BURNT-OUT CASE	58	1961
pst.000029884575	Graham Greene	Greene, Graham, 1904-1991	n79021903	59083415	Q128560	3	1	1961-02-26	ic		10599204	80	3762	49051517	A BURNT-OUT CASE	58	1961
mdp.39015003930867	Rumer Godden	Godden, Rumer, 1907-1998	n79063768	110463979	Q434735	12	6	1948-08-29	ic|und		285954	49	1030	57066428	A CANDLE FOR ST. JUDE	59	1948
mdp.39015012321967	Rumer Godden	Godden, Rumer, 1907-1998	n79063768	110463979	Q434735	12	6	1948-08-29	ic|und		285954	49	1030	57066428	A CANDLE FOR ST. JUDE	59	1948
mdp.39015054129278	Laurell K. Hamilton	Hamilton, Laurell K	no93020197	39520379	Q298229	10	6	2002-04-14	ic	0345435273	49323472	244	1651	9937272	A CARESS OF TWILIGHT	60	2002
mdp.39015002388232	Michael Crichton writing as Jeffery Hudson	Hudson, Jeffrey, 1942-2008	n88662645	55734037	Q172140	10	15	1993-08-01	ic		2483904	281	3529	156436694	A CASE OF NEED	61	1993
uc1.32106010338751	Robert B. Parker	Parker, Robert B., 1932-2010	n79063642	101763416	Q550819	6	9	1985-06-16	ic	0385293852	11574237	254	2454	374392207	A CATSKILL EAGLE	62	1985
mdp.39015005780161	Francoise Sagan	Sagan, Françoise, 1935-2004	n79021390	96464325	Q1646	2	14	1956-08-19	ic		1029190	53	1969	4161313606	A CERTAIN SMILE	65	1956
mdp.39015003978536	Francoise Sagan	Sagan, Françoise, 1935-2004	n79021390	96464325	Q1646	2	14	1956-08-19	ic		1029190	53	1969	4161313606	A CERTAIN SMILE	65	1956
mdp.39015010915471	Mary McCarthy	McCarthy, Mary, 1912-1989	n79060089	94457792	Q268147	9	16	1955-11-27	ic|und		288916	136	1299	48715101	A CHARMED LIFE	68	1955
mdp.39015001506412	Mary McCarthy	McCarthy, Mary, 1912-1989	n79060089	94457792	Q268147	9	16	1955-11-27	ic|und		288916	136	1299	48715101	A CHARMED LIFE	68	1955
pst.000032420562	Mary McCarthy	McCarthy, Mary, 1912-1989	n79060089	94457792	Q268147	9	16	1955-11-27	ic	0156167743	25281250	136	1299	48715101	A CHARMED LIFE	68	1955
mdp.39015046463629	George R. R. Martin	Martin, George R. R.	n80160390	98636170	Q181677	13	6	1999-02-21	ic	0553108034	39606742	200	6266	3874203448	A CLASH OF KINGS	70	1999
mdp.39015056807590	Jonathan Kellerman	Kellerman, Jonathan	n79116770	2559502	Q1349245	6	12	2003-05-18	ic	0345452550	51766403	274	3690	683618	A COLD HEART	71	2003
mdp.39015050487860	Jan Karon	Karon, Jan, 1937-	n93107824	32784235	Q6149232	1	11	2001-04-29	ic	0670894370	44045558	156	4449	796149606	A COMMON LIFE	73	2001
mdp.39015009017743	Stephen Becker	Becker, Stephen D., 1927-1999	n50006926	71387122	Q56000401	6	13	1965-02-07	ic		12014941	10	795	60126473	A COVENANT WITH DEATH	75	1965
mdp.39015012196773	Stephen Becker	Becker, Stephen D., 1927-1999	n50006926	71387122	Q56000401	6	13	1965-02-07	ic		12014941	10	795	60126473	A COVENANT WITH DEATH	75	1965
mdp.39015008691340	Vincent Sheean	Sheean, Vincent	n50022139	78164	Q2526733	4	6	1938-08-01	ic		2023843	10	523	149587423	A DAY OF BATTLE	88	1938
uc1.$b105695	Vincent Sheean	Sheean, Vincent	n50022139	78164	Q2526733	4	6	1938-08-01	ic		2023843	10	523	149587423	A DAY OF BATTLE	88	1938
inu.30000117261648	James Agee	Agee, James, 1909-1955	n79039544	46756190	Q352963	9	1	1957-12-29	ic		4755871	157	5886	533662	A DEATH IN THE FAMILY	90	1957
mdp.39015004995885	James Agee	Agee, James, 1909-1955	n79039544	46756190	Q352963	9	1	1957-12-29	ic		276631	157	5886	533662	A DEATH IN THE FAMILY	90	1957
uc1.32106002085238	James Agee	Agee, James, 1909-1955	n79039544	46756190	Q352963	9	1	1957-12-29	ic		276631	157	5886	533662	A DEATH IN THE FAMILY	90	1957
pst.000028906216	James Agee	Agee, James, 1909-1955	n79039544	46756190	Q352963	9	1	1957-12-29	ic		1932948	157	5886	533662	A DEATH IN THE FAMILY	90	1957
mdp.39015000695174	James Agee	Agee, James, 1909-1955	n79039544	46756190	Q352963	9	1	1957-12-29	ic		249006	157	5886	533662	A DEATH IN THE FAMILY	90	1957
pst.000029710478	James Agee	Agee, James, 1909-1955	n79039544	46756190	Q352963	9	1	1957-12-29	ic		313456	157	5886	533662	A DEATH IN THE FAMILY	90	1957
mdp.39015073600093	James Agee	Agee, James, 1909-1955	n79039544	46756190	Q352963	9	1	1957-12-29	ic	1572335947	86110082	157	5886	533662	A DEATH IN THE FAMILY	90	1957
mdp.39015058235873	Daniel Silva	Silva, Daniel, 1960-	n96056686	101089301	Q712596	5	11	2004-03-14	ic	0399151435	53483586	279	3192	590009	A DEATH IN VIENNA	91	2004
mdp.39015049529939	Christopher Rice	Rice, Christopher, 1978-	n00036180	79528999	Q1086932	15	9	2000-10-15	ic	0786866462	43728989	21	1135	34213685	A DENSITY OF SOULS	95	2000
uc1.$b101886	Davis Grubb	Grubb, Davis, 1919-1980	n79072850	39145857779523020083	Q2742535	15	15	1955-10-23	pd		1335837	24	227	203734049	A DREAM OF KINGS	103	1955
mdp.39015000621097	Davis Grubb	Grubb, Davis, 1919-1980	n79072850	39145857779523020083	Q2742535	15	15	1955-10-23	pd		1335837	24	227	203734049	A DREAM OF KINGS	103	1955
uc1.b3688199	Davis Grubb	Grubb, Davis, 1919-1980	n79072850	39145857779523020083	Q2742535	15	15	1955-10-23	pd		1335837	24	227	203734049	A DREAM OF KINGS	103	1955
uc1.$b106325	Harry Mark Petrakis	Petrakis, Harry Mark	n50000866	79291019	Q1586662	8	13	1966-10-30	ic		292044	26	738	1476902	A DREAM OF KINGS	104	1966
mdp.39015017691224	William Faulkner	Faulkner, William, 1897-1962	n79003304	39376770	Q38392	4	6	1954-08-22	ic		284062	95	3838	461748	A FABLE	105	1954
uc1.b4445401	William Faulkner	Faulkner, William, 1897-1962	n79003304	39376770	Q38392	4	6	1954-08-22	ic		284062	95	3838	461748	A FABLE	105	1954
mdp.39015003344390	William Faulkner	Faulkner, William, 1897-1962	n79003304	39376770	Q38392	4	6	1954-08-22	ic		284062	95	3838	461748	A FABLE	105	1954
mdp.39015046378470	William Faulkner	Faulkner, William, 1897-1962	n79003304	39376770	Q38392	4	6	1954-08-22	ic		284062	95	3838	461748	A FABLE	105	1954
mdp.39015003344614	William Faulkner	Faulkner, William, 1897-1962	n79003304	39376770	Q38392	4	6	1954-08-22	ic		2167377	95	3838	461748	A FABLE	105	1954
mdp.39015003344630	William Faulkner	Faulkner, William, 1897-1962	n79003304	39376770	Q38392	4	6	1954-08-22	ic		2167377	95	3838	461748	A FABLE	105	1954
inu.30000117261713	William Faulkner	Faulkner, William, 1897-1962	n79003304	39376770	Q38392	4	6	1954-08-22	ic		2964333	95	3838	461748	A FABLE	105	1954
mdp.39015066296156	Joyce Cary	Cary, Joyce, 1888-1957	n80056987	46778083	Q716579	11	5	1950-10-29	ic	0837167779	760520	35	1370	349234095	A FEARFUL JOY	107	1950
uc1.$b104062	William Pearson	Pearson, William, 1922-	n83177088	7813056		14	1	1959-12-06	ic		625506	11	259	1717446	A FEVER IN THE BLOOD	109	1959
mdp.39015000542376	William Pearson	Pearson, William, 1922-	n83177088	7813056		14	1	1959-12-06	ic		625506	11	259	1717446	A FEVER IN THE BLOOD	109	1959
mdp.39015030728011	Gladys Hasty Carroll	Carroll, Gladys Hasty, 1904-1999	n78093493	45567202	Q5566419	5	5	1935-05-13	ic		1834115	1	264	148096550	A FEW FOOLISH ONES	110	1935
mdp.39015066055388	Robert Stone	Stone, Robert, 1937-2015	n81032280	7397319	Q1633025	9	10	1981-11-22	ic	0394407571	7554840	50	1948	464030	A FLAG FOR SUNRISE	113	1981
mdp.39015060818443	Debbie Macomber	Macomber, Debbie	n84140978	79125942	Q3704362	14	2	2005-05-15	ic	0778321444	58470927	352	3974	938154	A GOOD YARN	122	2005
mdp.39015059124506	Peter Mayle	Mayle, Peter	n50007323	44302507	Q531759	13	6	2004-06-20	ic	0375405917	53170170	140	2290	317770	A GOOD YEAR	123	2004
mdp.39015003640110	Albert Camus	Camus, Albert, 1913-1960	n79061368	97000332	Q34670	9	10	1972-07-09	ic	0394472624	241445	56	2099	11475665716	A HAPPY DEATH	126	1972
mdp.39015004017342	Albert Camus	Camus, Albert, 1913-1960	n79061368	97000332	Q34670	9	10	1972-07-09	ic	0394718658	409719	56	2099	11475665716	A HAPPY DEATH	126	1972
uc1.b4099836	Pearl S. Buck	Buck, Pearl S. (Pearl Sydenstricker), 1892-1973	n79026662	91868694	Q80900	4	8	1935-01-28	ic		2721763	681	1974	5573824567	A HOUSE DIVIDED	130	1935
mdp.39015046425248	Pearl S. Buck	Buck, Pearl S. (Pearl Sydenstricker), 1892-1973	n79026662	91868694	Q80900	4	8	1935-01-28	ic		2721763	681	1974	5573824567	A HOUSE DIVIDED	130	1935
pst.000029583720	Pearl S. Buck	Hardy, Thomas, 1840-1928	n79046230	54148778	Q132805	4	8	1935-01-28	ic		7861469	8213	18773	2044358356	A HOUSE DIVIDED	130	1935
pst.000020463786	Pearl S. Buck	Hardy, Thomas, 1840-1928	n79046230	54148778	Q132805	4	8	1935-01-28	ic		7861469	8213	18773	2044358356	A HOUSE DIVIDED	130	1935
pst.000028368748	Pearl S. Buck	Buck, Pearl S. (Pearl Sydenstricker), 1892-1973	n79026662	91868694	Q80900	4	8	1935-01-28	ic		4050247	681	1974	5573824567	A HOUSE DIVIDED	130	1935
inu.30000041111034	Pearl S. Buck	Buck, Pearl S. (Pearl Sydenstricker), 1892-1973	n79026662	91868694	Q80900	4	8	1935-01-28	ic	1559210346	28631879	681	1974	5573824567	A HOUSE DIVIDED	130	1935
mdp.39015046799444	Robert Lewis Taylor	Rubio, José Luis	nr88008013	44141142	Q55992728	8	15	1961-05-21	ic		217455670	1	60	365754531	A JOURNEY TO MATECUMBE	132	1961
uc1.b4088973	Robert Lewis Taylor	Rubio, José Luis	nr88008013	44141142	Q55992728	8	15	1961-05-21	ic		217455670	1	60	365754531	A JOURNEY TO MATECUMBE	132	1961
mdp.39015066066682	Laurell K. Hamilton	Hamilton, Laurell K.	no93020197	39520379	Q298229	14	7	2000-10-22	ic	0345423399	44849075	247	1673	14576081	A KISS OF SHADOWS	133	2000
inu.32000009191885	Sybille Bedford	Bedford, Sybille, 1911-2006	n50006934	56648810	Q72705	8	15	1957-03-03	ic		3372536	104	1135	48210193	A LEGACY	136	1957
mdp.39015016451059	Sybille Bedford	Bedford, Sybille, 1911-2006	n50006934	56648810	Q72705	8	15	1957-03-03	ic		297415	104	1135	48210193	A LEGACY	136	1957
mdp.39015003850081	Sybille Bedford	Bedford, Sybille, 1911-2006	n50006934	56648810	Q72705	8	15	1957-03-03	ic		6728341	104	1135	48210193	A LEGACY	136	1957
pst.000056830507	Sybille Bedford	Bedford, Sybille, 1911-2006	n50006934	56648810	Q72705	8	15	1957-03-03	ic		2203709	104	1135	48210193	A LEGACY	136	1957
mdp.39015074299432	Laurell K. Hamilton	Hamilton, Laurell K	no93020197	39520379	Q298229	2	3	2007-11-11	ic	034549590X	148892229	242	1704	103618008	A LICK OF FROST	139	2007
mdp.39015000628977	Adria Locke Langley	Langley, Adria Locke	n2002081383	9209566	Q4684769	1	5	1945-06-10	ic		7675837	20	744	354027478	A LION IS IN THE STREETS	142	1945
uc1.b3710738	Adria Locke Langley	Langley, Adria Locke	n2002081383	9209566	Q4684769	1	5	1945-06-10	ic		7675837	20	744	354027478	A LION IS IN THE STREETS	142	1945
pst.000002169873	Reynolds Price	Price, Reynolds, 1933-2011	n79132486	4970438	Q2619779	14	16	1962-05-06	ic		807646	43	1930	771771560	A LONG AND HAPPY LIFE	145	1962
uc1.b4089928	Reynolds Price	Price, Reynolds, 1933-2011	n79132486	4970438	Q2619779	14	16	1962-05-06	ic		6686791	43	1930	771771560	A LONG AND HAPPY LIFE	145	1962
mdp.39015000607476	Reynolds Price	Price, Reynolds, 1933-2011	n79132486	4970438	Q2619779	14	16	1962-05-06	ic		6686791	43	1930	771771560	A LONG AND HAPPY LIFE	145	1962
uc1.b3727139	Frederick Buechner	Buechner, Frederick, 1926-	n80050015	66589484	Q1452807	10	2	1950-01-29	ic		634741	12	658	750810	A LONG DAY'S DYING	146	1950
mdp.39015010715293	Frederick Buechner	Buechner, Frederick, 1926-	n80050015	66589484	Q1452807	10	2	1950-01-29	ic		634741	12	658	750810	A LONG DAY'S DYING	146	1950
uc1.b4097009	Frederick Buechner	Buechner, Frederick, 1926-	n80050015	66589484	Q1452807	10	2	1950-01-29	ic		634741	12	658	750810	A LONG DAY'S DYING	146	1950
mdp.39015034442486	Louisa May Alcott	Alcott, Louisa May, 1832-1888	n79117152	29528997	Q185696	14	8	1995-10-15	ic	0679445102	32166212	38	3418	4535731963	A LONG FATAL LOVE CHASE	147	1995
uc1.32106018075231	Nick Hornby	Hornby, Nick	n91044258	76432329	Q313007	5	9	2005-06-26	ic	0670888249	60342735	184	3296	35888	A LONG WAY DOWN	149	2005
mdp.39015060827386	Nick Hornby	Hornby, Nick	n91044258	76432329	Q313007	5	9	2005-06-26	ic	0670888249	60342735	184	3296	35888	A LONG WAY DOWN	149	2005
mdp.39076002516263	Nick Hornby	Hornby, Nick	n91044258	76432329	Q313007	5	9	2005-06-26	ic	1573223026	56567128	184	3296	35888	A LONG WAY DOWN	149	2005
mdp.39015055451739	E. Lynn Harris	Harris, E. Lynn	n92105340	13971412	Q1273517	3	13	2002-08-18	ic	0385492707	50022800	77	1494	427324576	A LOVE OF MY OWN	150	2002
mdp.39015061147297	Johanna Lindsey	Lindsey, Johanna	n84033301	28600	Q273677	10	1	2004-05-16	ic	0743456254	54433988	93	2812	17999	A LOVING SCOUNDREL	151	2004
mdp.39015001518243	Oriana Fallaci	Fallaci, Oriana	n79119159	27064159	Q153700	14	1	1980-12-28	ic	0671252410	6423359	97	1760	889963108	A MAN	153	1980
uc1.$b74565	Bruno Frank	Frank, Bruno, 1887-1945	n50025400	37123104	Q62133	8	8	1935-03-18	ic		682408	15	866	4494881329	A MAN CALLED CERVANTES	154	1935
mdp.39015001811333	Bruno Frank	Frank, Bruno, 1887-1945	n50025400	37123104	Q62133	8	8	1935-03-18	ic		682408	15	866	4494881329	A MAN CALLED CERVANTES	154	1935
mdp.39015014137221	Richard Llewellyn	Llewellyn, Richard	n79064608	119593	Q561435	11	16	1961-09-10	ic		1151841	11	527	2081542	A MAN IN A MIRROR	155	1961
mdp.39015060005751	Johanna Lindsey	Lindsey, Johanna	n84033301	28600	Q273677	10	3	2003-07-20	ic	0743456335	52513671	57	2995	348667045	A MAN TO CALL MY OWN	158	2003
mdp.39015032608096	Jane Hamilton	Hamilton, Jane, 1957 July 13-	n87936959	47447659	Q6152339	15	12	1994-07-17	ic	0385473109	29521064	185	3806	1009664	A MAP OF THE WORLD	161	1994
mdp.39015031806188	Jane Hamilton	Hamilton, Jane, 1957 July 13-	n87936959	47447659	Q6152339	15	12	1994-07-17	ic	0385473109	29521064	185	3806	1009664	A MAP OF THE WORLD	161	1994
mdp.39015063095692	Jeffrey Archer	Archer, Jeffrey, 1940-	n79115945	110249804	Q313489	2	14	1986-07-06	ic	0671624342	13498493	145	2883	40284	A MATTER OF HONOR	162	1986
mdp.39076002787351	Toni Morrison	Morrison, Toni	n80131379	109406177	Q72334	5	13	2008-11-30	ic	0676978304	212855125	316	5109	133935784	A MERCY	164	2008
mdp.39015030851128	Louis Bromfield	Bromfield, Louis, 1896-1956	n80040365	14766865	Q500042	1	1	1932-05-09	ic		1209055	3	376	4020055812	A MODERN HERO	167	1932
uc1.$b322855	Louis Bromfield	Bromfield, Louis, 1896-1956	n80040365	14766865	Q500042	1	1	1932-05-09	ic		1209055	3	376	4020055812	A MODERN HERO	167	1932
coo.31924014497154	Louis Bromfield	Bromfield, Louis, 1896-1956	n80040365	14766865	Q500042	1	1	1932-05-09	ic		777091713	3	376	4020055812	A MODERN HERO	167	1932
mdp.39015031223806	Phyllis Bentley	Bentley, Phyllis Eleanor, 1894-1977	n79021693	30342215	Q7188530	4	6	1934-02-12	ic		944055	13	364	149282988	A MODERN TRAGEDY	168	1934
uc1.$b322720	Phyllis Bentley	Bentley, Phyllis Eleanor, 1894-1977	n79021693	30342215	Q7188530	4	6	1934-02-12	ic		2520523	13	364	149282988	A MODERN TRAGEDY	168	1934
mdp.39015026874050	John Updike	Updike, John	n79018616	90712179	Q105756	5	9	1975-03-23	ic	0394497325	1094876	102	2756	486385	A MONTH OF SUNDAYS	169	1975
mdp.39015002245770	John Updike	Updike, John	n79018616	90712179	Q105756	5	9	1975-03-23	ic	0394497325	1094876	102	2756	486385	A MONTH OF SUNDAYS	169	1975
mdp.39015002364415	Gail Godwin	Godwin, Gail	n50033169	100267478	Q2908695	8	3	1982-02-28	ic	0670490210	7555187	42	2042	1816530022	A MOTHER AND TWO DAUGHTERS	171	1982
mdp.39015003687517	Bruce Jay Friedman					8	11	1964-09-13	ic		217751472	0	8	1539236	A MOTHER'S KISSES	172	1964
uc1.b4095411	Bruce Jay Friedman					8	11	1964-09-13	ic		217751472	0	8	1539236	A MOTHER'S KISSES	172	1964
inu.30000011896655	Bernard Malamud	Malamud, Bernard	n79046272	34459928	Q351547	13	1	1961-12-03	ic		288681	37	2202	901358	A NEW LIFE	176	1961
pst.000032241341	Bernard Malamud	Malamud, Bernard	n79046272	34459928	Q351547	13	1	1961-12-03	ic		10801265	37	2202	901358	A NEW LIFE	176	1961
mdp.49015000716010	Bernard Malamud	Malamud, Bernard	n79046272	34459928	Q351547	13	1	1961-12-03	ic		46727471	37	2202	901358	A NEW LIFE	176	1961
mdp.39015043791444	Jan Karon	Karon, Jan, 1937-	n93107824	32784235	Q6149232	2	6	1999-04-25	ic	0670878103	40543233	270	4561	4820361166	A NEW SONG	177	1999
mdp.39015016454350	Elliott Arnold	Arnold, Elliott, 1912-1980	n78086280	55411359	Q5365612	4	3	1967-07-30	ic		629283	33	1129	136004597	A NIGHT OF WATCHING	180	1967
uc1.b3710940	Elliott Arnold	Arnold, Elliott, 1912-1980	n78086280	55411359	Q5365612	4	3	1967-07-30	ic		629283	33	1129	136004597	A NIGHT OF WATCHING	180	1967
uc1.$b119632	Elliott Arnold	Arnold, Elliott, 1912-1980	n78086280	55411359	Q5365612	4	3	1967-07-30	ic		459885	33	1129	136004597	A NIGHT OF WATCHING	180	1967
mdp.39015050470569	John Grisham	Grisham, John	n88231236	7449742	Q106465	1	7	2001-02-25	ic	0385501218	49559833	444	7091	689042	A PAINTED HOUSE	182	2001
uc1.$b662373	Sholem Asch	Asch, Sholem, 1880-1957	n79114270	56628030	Q380439	15	16	1953-11-29	und		322522	11	784	11948385380	A PASSAGE IN THE NIGHT	183	1953
mdp.39015024566385	Sholem Asch	Asch, Sholem, 1880-1957	n79114270	56628030	Q380439	15	16	1953-11-29	und		322522	11	784	11948385380	A PASSAGE IN THE NIGHT	183	1953
mdp.39015040176607	Anne Tyler	Tyler, Anne	n79100453	39384885	Q235615	7	13	1998-05-03	ic	037540256X	38522009	181	3887	533391	A PATCHWORK PLANET	184	1998
mdp.39015060037267	Richard Paul Evans	Evans, Richard Paul	n95047423	165087647	Q285876	6	13	2003-10-19	ic	0525947655	52601322	154	3303	659508	A PERFECT DAY	187	2003
uc1.b3687478	Taylor Caldwell	Caldwell, Taylor, 1900-1985	n80126302	17220157	Q445429	8	2	1965-05-23	ic		627695	78	1478	21939522	A PILLAR OF IRON	191	1965
mdp.39015034890445	Ken Follett	Follett, Ken, 1949-	n78037365	64005683	Q210669	6	6	1995-09-17	ic	0517701766	32240654	343	3542	1774653849	A PLACE CALLED FREEDOM	192	1995
mdp.39015073913231	Ken Follett	Follett, Ken, 1949-	n78037365	64005683	Q210669	6	6	1995-09-17	ic		38510690	343	3542	1774653849	A PLACE CALLED FREEDOM	192	1995
mdp.39015060019943	Elizabeth George	George, Elizabeth, 1949- ..	n87935803	114891447	Q236727	5	14	2003-08-17	ic	0553801309	52640570	296	3268	687135	A PLACE OF HIDING	195	2003
mdp.39015084102303	John Lescroart	Lescroart, John T.	n78029024	64797966	Q327278	12	15	2009-07-19	ic	0525950923	259716215	165	2869	844165749	A PLAGUE OF SECRETS	197	2009
mdp.39015030717782	Hugh Walpole	Walpole, Hugh, 1884-1941	n79151207	76523409	Q548004	3	6	1936-10-26	ic		297353	35	640	375493303	A PRAYER FOR MY SON	199	1936
uc1.$b105923	Hugh Walpole	Walpole, Hugh, 1884-1941	n79151207	76523409	Q548004	3	6	1936-10-26	ic		1336645	35	640	375493303	A PRAYER FOR MY SON	199	1936
mdp.39015020746155	John Irving	Irving, John, 1942-	n79135330	108238891	Q310379	2	10	1989-03-26	ic	0688077080	18557147	432	6436	142937474	A PRAYER FOR OWEN MEANY	200	1989
uc1.32106002094560	Taylor Caldwell	Caldwell, Taylor, 1900-1985	n80126302	17220157	Q445429	3	15	1961-12-03	ic		1024307	11	1154	57067673	A PROLOGUE TO LOVE	204	1961
mdp.39015000551153	John O'Hara	O'Hara, John, 1905-1970	n79060653	12429524	Q548345	1	1	1949-09-04	ic		34202441	60	1596	570585	A RAGE TO LIVE	205	1949
pst.000047287280	John O'Hara	O'Hara, John, 1905-1970	n79060653	12429524	Q548345	1	1	1949-09-04	ic	0679602666	36225056	60	1596	570585	A RAGE TO LIVE	205	1949
mdp.39015060404624	Fannie Flagg	Flagg, Fannie	n80153039	79412195	Q433207	8	12	2004-11-21	ic	1400063043	55729763	201	3625	364083	A REDBIRD CHRISTMAS	207	2004
uc1.$b106035	Honor Tracy	Tracy, Honor, 1915-	n79062763	110440099	Q5896852	14	15	1961-08-27	pd		290476	19	318	1471263	A SEASON OF MISTS	214	1961
uc1.b3454982	Sloan Wilson	Wilson, Sloan, 1920-2003	n78091976	76441489	Q2903650	10	15	1961-01-15	ic		1389555	11	550	4915173988	A SENSE OF VALUES	219	1961
mdp.39015054096089	John Knowles	Knowles, John, 1926-2001	n50042387	109382098	Q983113	16	1	1960-03-27	ic		1285258	119	8110	16756029	A SEPARATE PEACE	220	1960
mdp.39015020814508	John Knowles	Knowles, John, 1926-2001	n50042387	109382098	Q983113	16	1	1960-03-27	ic		768852	119	8110	16756029	A SEPARATE PEACE	220	1960
uc1.32106006161779	John Knowles	Knowles, John, 1926-2001	n50042387	109382098	Q983113	16	1	1960-03-27	ic		254234287	119	8110	16756029	A SEPARATE PEACE	220	1960
mdp.39015042143670	John Knowles	Knowles, John, 1926-2001	n50042387	109382098	Q983113	16	1	1960-03-27	ic	0684833662	34822547	119	8110	16756029	A SEPARATE PEACE	220	1960
uc1.b3481744	Allen Drury	Drury, Allen	n79109295	32794604	Q733850	1	10	1962-10-07	ic		282789	31	1757	355606783	A SHADE OF DIFFERENCE	222	1962
uc1.b3687834	Allen Drury	Drury, Allen	n79109295	32794604	Q733850	1	10	1962-10-07	ic		282789	31	1757	355606783	A SHADE OF DIFFERENCE	222	1962
mdp.39015053405992	Allen Drury	Drury, Allen	n79109295	32794604	Q733850	1	10	1962-10-07	ic		282789	31	1757	355606783	A SHADE OF DIFFERENCE	222	1962
uc1.b4086401	Wallace Stegner					7	13	1961-06-11	ic		213985421				A SHOOTING STAR	224	1961
mdp.39015031308789	Wallace Stegner					7	13	1961-06-11	ic		213985421				A SHOOTING STAR	224	1961
