htid	author	author_authorized_heading	author_lccn	author_viaf	author_wikidata_qid	best_rank	debut_rank	first_week	hathi_rights	isbn	oclc	oclc_eholdings	oclc_holdings	oclc_owi	title	title_id	year
mdp.39015047066199	John Sandford	Sandford, John, 1944 February 23-	n88201495	112432108	Q1701679	3	10	1998-05-31	ic	0399143823	38239455	260	3298	539194	SECRET PREY	3982	1998
mdp.39015063527736	Robert W. Chambers	Chambers, Robert W. (Robert William), 1865-1933	n50035708	14767483	Q1349144	7	8	1934-03-19	ic		7339425	2	74	1484320	SECRET SERVICE OPERATOR 13	3983	1934
mdp.39015013396265	F. Lee Bailey	Bailey, F. Lee (Francis Lee), 1933-2021	n78096040	77477834	Q3366905	13	10	1979-02-11	ic	0812825276	3842742	23	776	198615866	SECRETS	3985	1979
mdp.39015058207500	Laurell K. Hamilton	Hamilton, Laurell K	no93020197	39520379	Q298229	4	9	2004-02-22	ic	034544356X	53880178	192	1352	12151274259	SEDUCED BY MOONLIGHT	3990	2004
uc1.$b103153	Elick Moll	Moll, Elick	no91005655	15268648		6	13	1958-06-15	pd		292013	21	675	1476772	SEIDMAN AND SON	3995	1958
mdp.39015014863305	Elick Moll	Moll, Elick	no91005655	15268648		6	13	1958-06-15	pd		292013	21	675	1476772	SEIDMAN AND SON	3995	1958
mdp.39015042816549	Dean Koontz	Koontz, Dean R. (Dean Ray), 1945-	n79081582	110880758	Q272076	2	11	1999-01-17	ic	0553106651	39922026	210	3284	9380986269	SEIZE THE NIGHT	3996	1999
mdp.39015056309332	Robin Cook	Cook, Robin, 1940-	n79117119	109274608	Q352059	6	14	2003-08-03	ic	0399148760	51848656	144	3063	2452530597	SEIZURE	3997	2003
mdp.39015062111516	Jonathan Kellerman	Kellerman, Jonathan	n79116770	2559502	Q1349245	4	11	1995-01-15	ic	055308920X	30668031	276	2712	10565518	SELF-DEFENSE	3998	1995
uc1.b4451024	Dan Jenkins	Jenkins, Dan	n50028068	56740947	Q5213748	3	9	1972-10-15	ic		524365	73	899	437486	SEMI-TOUGH	3999	1972
mdp.39015056838173	Kay Hooper	Hooper, Kay	n87862357	12319899	Q440793	7	14	2003-09-07	ic	055380300X	52514478	142	2320	1030639	SENSE OF EVIL	4001	2003
mdp.39015053119122	Vince Flynn	Flynn, Vince, 1966-2013	n98021194	57668585	Q1356200	7	8	2001-10-21	ic	0671047337	48017693	160	2837	777676	SEPARATION OF POWER	4002	2001
mdp.39015005494136	James M. Cain	Cain, James M. (James Mallahan), 1892-1977	n80025844	46758295	Q81071	3	7	1937-12-13	ic		1053947	25	706	464409	SERENADE	4004	1937
mdp.39015037821371	Anne Rice	Rice, Anne	n79068491	111989334	Q184785	1	4	1996-08-18	ic	0679433015	33665194	193	3024	614064	SERVANT OF THE BONES	4008	1996
mdp.39015055437381	Anne Rice	Rice, Anne	n79068491	111989334	Q184785	1	4	1996-08-18	ic	0345409663	37482882	193	3024	614064	SERVANT OF THE BONES	4008	1996
mdp.39015010204827	William Styron	Styron, William, 1925-2006	n79022959	71398096	Q245257	8	13	1960-06-26	ic		292188	158	2373	61140602	SET THIS HOUSE ON FIRE	4010	1960
mdp.39015046452556	Isak Dinesen	Dinesen, Isak, 1885-1962	n79007719	121643918	Q182804	1	6	1934-04-23	ic		244947	96	4117	4917974960	SEVEN GOTHIC TALES	4012	1934
mdp.39015034652332	Isak Dinesen	Dinesen, Isak, 1885-1962	n79007719	121643918	Q182804	1	6	1934-04-23	ic		244947	96	4117	4917974960	SEVEN GOTHIC TALES	4012	1934
uc1.32106010568852	Isak Dinesen	Asiatic Society (Kolkata, India)	n80067000	133359895	Q374902	1	6	1934-04-23	ic		254843687	2	74	2873479491	SEVEN GOTHIC TALES	4012	1934
wu.89080142607	Isak Dinesen	Dinesen, Isak, 1885-1962	n79007719	121643918	Q182804	1	6	1934-04-23	ic		679153	96	4117	4917974960	SEVEN GOTHIC TALES	4012	1934
wu.89071070114	Isak Dinesen	Dinesen, Isak, 1885-1962	n79007719	121643918	Q182804	1	6	1934-04-23	ic	0394742915	25270791	96	4117	4917974960	SEVEN GOTHIC TALES	4012	1934
mdp.39015013426575	Warwick Deeping	Deeping, Warwick	n82131987	76774191	Q2550081	7	7	1934-05-28	und		1598308	2	141	2502576	SEVEN MEN CAME BACK	4013	1934
mdp.39015018944895	Alice Hoffman	Hoffman, Alice	n80046698	85550312	Q452722	10	11	1990-08-26	ic	0399135359	20594253	240	2569	1016483	SEVENTH HEAVEN	4017	1990
pst.000019313726	Alice Hoffman	Hoffman, Alice	n80046698	85550312	Q452722	10	11	1990-08-26	ic	0449220184	24259327	240	2569	1016483	SEVENTH HEAVEN	4017	1990
mdp.39015066877252	Julie Garwood	Garwood, Julie	n85061934	84050401	Q290686	5	7	2007-01-14	ic	9780345453860	74459888	278	3312	60755923	SHADOW DANCE	4022	2007
mdp.39015074235436	Julie Garwood	Garwood, Julie	n85061934	84050401	Q290686	7	9	2008-01-13	ic	0345500733	180707275	256	3156	114361013	SHADOW MUSIC	4023	2008
uc1.b4095393	M.M. Kaye	Kaye, M. M. (Mary Margaret), 1908-2004	n81023349	86532833	Q444534	3	3	1979-09-30	und		3635517	42	2067	443991	SHADOW OF THE MOON	4029	1979
mdp.39015037768119	Steve Perry	Perry, Steve	n84204295	88063748	Q1368134	5	4	1996-04-21	ic	0553100890	32970055	110	1438	1152606632	SHADOWS OF THE EMPIRE	4037	1996
mdp.39015030728516	Willa Cather	Cather, Willa, 1873-1947	n80015717	2480701	Q229480	4	4	1931-10-12	ic		809763	19	1995	9462921975	SHADOWS ON THE ROCK	4038	1931
mdp.39015049691200	Willa Cather	Cather, Willa, 1873-1947	n80015717	2480701	Q229480	4	4	1931-10-12	ic		809763	19	1995	9462921975	SHADOWS ON THE ROCK	4038	1931
miua.0433078.0001.001	Willa Cather	Cather, Willa, 1873-1947	n80015717	2480701	Q229480	4	4	1931-10-12	ic		809763	19	1995	9462921975	SHADOWS ON THE ROCK	4038	1931
uc1.32106002095583	Willa Cather	Cather, Willa, 1873-1947	n80015717	2480701	Q229480	4	4	1931-10-12	ic	9780394445069	4296811	96	2155	1288595	SHADOWS ON THE ROCK	4038	1931
mdp.39015062609188	Salman Rushdie	Rushdie, Salman	n80146294	29540187	Q44306	12	13	2005-10-02	ic	0224077848	61855166	148	2697	4162366	SHALIMAR THE CLOWN	4040	2005
uc1.32106018128261	Salman Rushdie	Rushdie, Salman	n80146294	29540187	Q44306	12	13	2005-10-02	ic	9780679463351	57637519	148	2697	4162366	SHALIMAR THE CLOWN	4040	2005
uc1.32106007567792	Eric Van Lustbader	Lustbader, Eric	n79138577	99512281	Q730116	12	5	1987-02-08	ic	0394556402	13525024	43	1173	7332656	SHAN	4043	1987
uc1.b3583426	Vicki Baum	Baum, Vicki 1888-1960	n79135036	71387030	Q93444	5	7	1939-08-28	ic		1451463	143	825	3377079952	SHANGHAI '37	4044	1939
mdp.39015008540703	A.J. Cronin	Cronin, A. J. (Archibald Joseph), 1896-1981	n50018375	29726795	Q179059	1	1	1948-08-08	ic		364268	11	1986	5534472559	SHANNON'S WAY	4046	1948
mdp.39015031230009	A.J. Cronin	Cronin, A. J. (Archibald Joseph), 1896-1981	n50018375	29726795	Q179059	1	1	1948-08-08	ic		364268	11	1986	5534472559	SHANNON'S WAY	4046	1948
uc1.b3435129	Richard Adams	Adams, Richard, 1920-2016	n78079510	71386171	Q313289	2	8	1975-05-18	ic	0671220152	1130141	96	2335	516753	SHARDIK	4047	1975
mdp.39015066049738	Richard Adams	Adams, Richard, 1920-2016	n78079510	71386171	Q313289	2	8	1975-05-18	ic	0671220152	1130141	96	2335	516753	SHARDIK	4047	1975
mdp.39076005253906	Richard Adams	Adams, Richard, 1920-2016	n78079510	71386171	Q313289	2	8	1975-05-18	ic	0713909528	1167404	96	2335	516753	SHARDIK	4047	1975
mdp.39015008040605	Richard Adams	Adams, Richard, 1920-2016	n78079510	71386171	Q313289	2	8	1975-05-18	ic	0671220152	1130141	96	2335	516753	SHARDIK	4047	1975
uc1.32106014625765	Jayne Ann Krentz	Krentz, Jayne Ann	n85135118	66032852	Q438345	9	12	1998-02-01	ic	0671523104	37864486	68	2336	568140	SHARP EDGES	4048	1998
mdp.39015050134397	Dick Francis	Francis, Dick	n79135492	24601518	Q314929	5	15	2000-10-01	ic	0718144538	44152109	134	3566	45135	SHATTERED	4050	2000
mdp.39015060111013	Dorothea Benton Frank	Frank, Dorothea Benton	n00036179	44478919	Q54823953	10	2	2004-08-22	ic	0425196089	55044520	138	2449	796377273	SHEM CREEK	4053	2004
mdp.39015057621222	Jan Karon	Karon, Jan, 1937-	n93107824	32784235	Q6149232	4	13	2003-11-09	ic	0670031208	54778276	224	4534	474816912	SHEPHERDS ABIDING	4054	2003
mdp.39015031325866	R. C. Hutchinson	Hutchinson, R. C. (Ray Coryton), 1907-1975	n50030342	3380440	Q7273516	6	6	1937-01-11	ic		1035777	14	432	1142636	SHINING SCABBARD	4056	1937
uc1.$b56773	R. C. Hutchinson	Hutchinson, R. C. (Ray Coryton), 1907-1975	n50030342	3380440	Q7273516	6	6	1937-01-11	ic		1035777	14	432	1142636	SHINING SCABBARD	4056	1937
mdp.39015053393511	Susan Isaacs	Isaacs, Susan, 1943-	n77008249	101356043	Q3334185	9	12	1988-08-21	ic		18631734	114	2299	650994	SHINING THROUGH	4057	1988
mdp.39015063936259	Kathleen Norris	Norris, Kathleen Thompson, 1880-1966	n50006075	39393394	Q6376862	4	4	1935-10-21	ic		1523764	2	144	1954137	SHINING WINDOWS	4058	1935
mdp.39076006273952	Katherine Anne Porter	Vaissière, Pierre de, 1867-1942				1	12	1962-04-15	ic		174002	212	4152	1304670	SHIP OF FOOLS	4059	1962
wu.89008854226	Gunnar Gunnarsson	Gunnarsson, Gunnar, 1889-1975	n79106319	103211586	Q381086	6	6	1938-02-14	und		1678812	1	232	2260830227	SHIPS IN THE SKY	4060	1938
