id	author	author_authorized_heading	author_lccn	author_viaf	author_wikidata	best_rank	debut_rank	first_week	oclc	oclc_eholdings	oclc_holdings	oclc_isbn	oclc_owi	title	total_weeks	year
2837	Sandra Brown	Brown, Sandra, 1948-	n88012222	114156159	Q258096	5	5	2012-10-07	776522274.0	146	3497	9781455501557	1105202268	LOW PRESSURE	4	2012
2838	Dorothea Benton Frank	Frank, Dorothea Benton	n00036179	44478919	Q54823953	9	9	2010-07-04	456180719.0	282	2139	9780061961175	341247459	LOWCOUNTRY SUMMER	2	2010
2839	Adriana Trigiani	Trigiani, Adriana	n99056153	33051445	Q375217	9	9	2003-07-27	51983441.0	176	2770	1400060052	196371832	LUCIA, LUCIA	4	2003
284	Pamela Frankau	Frankau, Pamela, 1908-1967	n85296841	20146738	Q7129150	8	12	1954-07-18	1692269.0	35	374		2583718	A WREATH FOR THE ENEMY	8	1954
2840	Jack Higgins	Higgins, Jack, 1929-	n79059853	39378467	Q433708	8	13	1981-08-30	7554584.0	245	2019	0812828275	2829626078	LUCIANO'S LUCK	9	1981
2841	Stuart Woods	Woods, Stuart	n79045422	108957653	Q3500849	5	5	2010-05-09	499178284.0	317	3092	9780399156441	372867342	LUCID INTERVALS	2	2010
2842	John Horne Burns	Burns, John Horne, 1916-1953	n84230483	29984243	Q6239895	9	12	1949-04-17	475328.0	11	276		405530282	LUCIFER WITH A BOOK	8	1949
2843	Martin Boyd	Boyd, Martin, 1893-1972	n50043137	14855320	Q6775040	6	9	1948-03-21	176649.0	33	675		1311879	LUCINDA BRAYFORD	8	1948
2844	Jessica Knoll	Knoll, Jessica	n2014048497	186596952	Q23763114	7	12	2015-05-31	883147884.0	341	3265	9781476789637	2493614178	LUCKIEST GIRL ALIVE	16	2015
2845	Jackie Collins	Collins, Jackie	n79113048	100253982	Q1837775	1	4	1985-08-25	41266077.0	121	2196	0684850303	285840280	LUCKY	23	1985
2846	Amy Bloom	Bloom, Amy, 1953-	n92106889	114241587	Q4749108	16	16	2014-08-17	842337661.0	269	2506	9781400067244	2030003205	LUCKY US	1	2014
2847	Carl Hiaasen	Hiaasen, Carl	n85133706	2519004	Q726177	6	12	1997-11-16	37464481.0	259	2906	0679454446	196415524	LUCKY YOU	7	1997
2848	Margaret Kennedy	Kennedy, Margaret, 1896-1967	n50045345	12426895	Q369526	9	11	1951-08-26	287662.0	26	548		1460629	LUCY CARMICHAEL	6	1951
2849	Irwin Shaw	Shaw, Irwin, 1913-1984	n79071320	32002877	Q315380	3	12	1956-04-08	1153463.0	124	981		48507016	LUCY CROWN	18	1956
285	Joseph C. Lincoln					5	5	1938-08-22						A. HALL & CO.	1	1938
2850	Willa Cather	Cather, Willa Schriftstellerin, USA, 1873 - 1947	n80015717	2480701	Q229480	1	1	1935-08-12	344161.0	106	3081		752978	LUCY GAYHEART	11	1935
2851	Chuck Palahniuk	Palahniuk, Chuck	n95106929	85311088	Q268181	7	7	2002-10-06	48871773.0	142	1964	0385504470	314917807	LULLABY	3	2002
2852	Brett Easton Ellis					13	13	2005-09-04						LUNAR PARK	1	2005
2853	Richard Price	Price, Richard 1949-	n82137049	120612902	Q1374243	6	6	2008-03-23	123767285.0	118	2462	9780374299255	124154265	LUSH LIFE	4	2008
2854	Irving Stone	Stone, Irving, 1903-1989	n50010563	51696231	Q337103	2	2	1934-10-08	32438500.0	76	2392	0452262496	48504445	LUST FOR LIFE	11	1934
2855	Raven Leilani	Leilani, Raven	no2020035531	7158427928306061742	Q98114121	12	12	2020-08-23	1119744688.0	139	1728	9780374194321	10009076649	LUSTER	2	2020
2856	R.G. Waldeck	Waldeck, R. G. (Rosie Goldschmidt), 1898-1982	n90667116	12827320	Q7273646	15	15	1946-06-16	1063851.0	13	177		347900462	LUSTRE IN THE SKY	1	1946
2857	Kenneth Roberts	Roberts, Kenneth Lewis, 1885-1957	n50048902	106968334	Q346729	1	14	1947-01-19	7020406.0	65	2110		572670	LYDIA BAILEY	29	1947
2858	Jo Nesbo	Nesbø, Jo, 1960-	n2002049296	44460209	Q202693	15	15	2018-04-29	994470600.0	271	3077	9780553419054	4428611081	MACBETH	1	2018
2859	Jayne Anne Phillips	Phillips, Jayne Anne, 1952-	n79033346	44274409	Q4353602	13	14	1984-07-29	10533036.0	226	1697	052524252X	3396429	MACHINE DREAMS	3	1984
286	E. Lynn Harris	Harris, E. Lynn	n92105340	13971412	Q1273517	6	11	1999-04-04	40179917.0	48	1283	038548657X	3769559392	ABIDE WITH ME	8	1999
2860	Ian McEwan	McEwan, Ian	n79008865	109587997	Q190379	10	10	2019-05-12	1078542365.0	179	2555	9780385545112	5469580483	MACHINES LIKE ME	1	2019
2861	John Sandford	Sandford, John, 1944 February 23-	n88201495	112432108	Q1701679	2	2	2012-10-21	785077594.0	232	3386	9780399157707	1100057323	MAD RIVER	4	2012
2862	Frances Parkinson Keyes	Keyes, Frances Parkinson, 1885-1970	n50045818	44300783	Q5478889	7	14	1963-01-06	38592237.0	32	902		4159937132	MADAME CASTEL'S LODGER	4	1963
2863	Anonymous aka Gladys Huntington					10	14	1956-09-16						MADAME SOLARIO	3	1956
2864	Margaret Atwood	Atwood, Margaret, 1939-	n79102766	109322990	Q183492	8	8	2013-09-22	825733384.0	384	3395	9780385528788	1204557978	MADDADDAM	2	2013
2865	L. S. Hilton	Hilton, L. S., 1974-	n2016020550	7726148705724037080004		14	14	2016-05-08	936557950.0	263	2096	9780399184260	2750950747	MAESTRA	1	2016
2866	Betty Smith	Smith, Betty, 1896-1972	n50012615	79125167	Q273730	7	15	1958-03-02	29243925.0	26	1574		403867	MAGGIE-NOW	15	1958
2867	Danielle Steel	Steel, Danielle	n80061569	100238676	Q72653	1	1	2016-07-24	936256921.0	277	3759	9780345531100	2784967089	MAGIC	4	2016
2868	Ilona Andrews	Andrews, Ilona,	no2008004836	56408028	Q1659012	13	13	2014-08-17	861478694.0	160	963	9780425256220	1410786600	MAGIC BREAKS	1	2014
2869	Susan Isaacs	Isaacs, Susan, 1943-	n77008249	101356043	Q3334185	4	14	1991-02-10	22240674.0	75	1994	0060165731	980080	MAGIC HOUR	11	1991
287	Helen McInnes					3	6	1941-07-21						ABOVE SUSPICION	15	1941
