person_id,ethnicity_parsed
515,British Indian
516,Northern Irish
517,Welsh
518,White American
519,Irish Canadian
519,British
520,Welsh
521,British Trinidadian
522,Briitsh 
523,British Indian
524,British Trinidadian
525,British
526,Vietnamese American
527,British
528,Chinese British
529,English
530,Northern Irish
531,White American
532,St Lucian
533,Estonian
533,British
534,White Canadian
534,British
535,British
536,Hungarian British 
537,White Canadian
538,English
539,White Australian
540,White American
541,Northern Irish
542,Northern Irish
544,Scottish
544,Nigerian
545,Jewish Welsh
546,Scottish
547,White American
548,English
549,Irish
550,English
551,English
552,British
553,British
554,Scottish
555,English
556,Northern Irish
557,British
558,English
559,British Italian
560,English
561,English
562,White American British
563,English
564,English
565,English
566,English
567,Briitsh 
568,British Nigerian
569,Pakistani
569,Scottish
570,White American
571,Sudanese
572,British
573,Scottish
574,Scottish
575,British
576,English
577,Jamaican
577,Black British
578,British
579,Jamaican Irish
580,English
581,British
582,Scottish
583,British
584,British
585,Zambian
586,Nigerian
587,British
588,English
589,English
590,Jamaican British
591,Indian
591,Welsh
592,Jamaican British
593,Welsh
594,White American
595,Irish
596,Scottish
597,British
598,White American
599,Scottish
600,German
601,Jamaican
602,Albanian
603,English
604,British
605,British Mauritian
606,British
607,White American
608,English
609,British
609,White American
610,White American
611,Scottish
612,British
613,British
614,Iranian American
615,Ukrainian
616,English
617,British
618,White American
619,White American
620,White American
621,White American
622,English
622,French
623,Bulgarian
624,Jewish American
625,Jewish British
626,English
627,Jewish
627,British French
628,Belarusian
629,Jewish American
630,British
631,White Trinidadian
631,British
632,British
633,British
634,Indian
635,White American
636,British
637,White American
638,English
639,British
639,White Australian
640,Scottish
641,English
642,British
643,English
644,White Canadian
645,White American
646,Scottish
647,Polish Romanian
647,Jewish Canadian
648,English
649,Anglo Norwegian
650,Dutch
651,British
652,White American
653,English
654,Jewish American
655,English
656,White American
657,British
658,British
659,Jewish American
660,English
661,English
662,British
663,Kenyan Indian
664,British
665,White American
666,English
667,British
668,English
669,British
670,British German
670,Jewish
671,British
672,White American
673,Indian American
674,Dutch American
674,Jewish
675,Irish British
676,British
677,English
678,Jewish American
679,English
680,British
681,British
681,Lebanese
682,Jewish British
683,Jewish American
684,English
685,Indian American
686,Turkish
687,English
688,White Australian
689,Jewish American
690,American British
691,Kenyan British
692,English
693,English
694,English
695,English
696,White Canadian
697,Irish
698,English
699,British
700,Irish
701,English
702,British
703,British
704,Jewish British
705,British
706,British
707,British
708,British
709,Jewish British
710,English
711,White American
712,English
,
,
,
,
