ranking,title,author,publisher,publisher_variants,date,genre,publication_date,publication_location,marc_country_code,isbn_number,oclc_number,viaf_permalink,viaf_id,source_link,unique_id
1,Bay Poetics,"Young, Stephanie (editor)",Faux Press,,May 2006,Poetry,2006,"Cambridge, MA",mau,9780976521136,70110282,http://viaf.org/viaf/29275528,29275528,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0001
2,Home Among the Swinging Stars: The Collected Poems of Jaime de Angulo,"Angulo, Jaime de ; Hyner, Stefan (editor)",La Alameda Press,,May 2006,Poetry,2006,"Albuquerque, NM",nmu,9781888809473,62889033,http://viaf.org/viaf/17244350; http://viaf.org/viaf/5730149068584065730001,17244350 ; 5730149068584065730001,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0002
3,The Truant Lover,"Patterson, Juliet",Nightboat Books,,May 2006,Poetry,2006,"Beacon, NY",nyu,9780976718529,62732686,http://viaf.org/viaf/33873277,33873277,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0003
4,Moraine,"Fuhrman, Joanna",Hanging Loose Press,,May 2006,Poetry,2006,"Brooklyn, NY",nyu,9781931236546,63692673,http://viaf.org/viaf/43635404,43635404,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0004
5,"A Tall, Serious Girl: Selected Poems 1957-2000","Stanley, George ; Davies, Kevin (editor) ; Fagin, Larry (editor)",Qua Books,,May 2006,Poetry,2003,"Jamestown, RI",riu,9780970876324,53462521,http://viaf.org/viaf/30781582,30781582,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0005
6,Cheerleader's Guide to the World: Council Book,"Doris, Stacy",Roof Books,,May 2006,Poetry,2006,"New York, NY",nyu,9781931824187,68810580,http://viaf.org/viaf/46920235,46920235,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0006
7,Things of Each Possible Relation Hashing Against One Another,"Spahr, Juliana",Palm Press,,May 2006,Poetry,2003,"Newfield, NY",nyu,9780974318103,53868554,http://viaf.org/viaf/1147904924279090653,1147904924279090653,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0007
8,Crosses: Poems 1992-1998,"Taggart, John",Stop Press,,May 2006,Poetry,2005,London,,9780954760304,70047724,http://viaf.org/viaf/114145687,114145687,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0008
9,Startle Response,"Fuller, Heather",O Books,,May 2006,Poetry,2005,"Oakland, CA",cau,9781882022557,60707508,http://viaf.org/viaf/29138640,29138640,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0009
10,Strand,"Dworkin, Craig Douglas",Roof Books,,May 2006,Poetry,2005,"New York, NY",nyu,9781931824149,58726851,http://viaf.org/viaf/19315105,19315105,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0010
11,Black Dog Songs,"Jarnot, Lisa",Flood Editions,,May 2006,Poetry,2003,"Chicago, IL",ilu,9780971005990,54000608,http://viaf.org/viaf/106736247,106736247,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0011
12,Petroleum Hat,"Gardner, Drew",Roof Books,,May 2006,Poetry,2005,"New York, NY",nyu,9781931824170,62863178,http://viaf.org/viaf/73500555,73500555,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0012
13,Some Notes on My Programming,"Berrigan, Anselm",Edge Books,,May 2006,Poetry,2005,"Washington, DC",dcu,9781890311209,68810649,http://viaf.org/viaf/51972890,51972890,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0013
14,Twenty-one After Days,"Lubasch, Lisa",Avec Books,,May 2006,Poetry,2006,"Penngrove, CA",cau,9781880713372,65404001,http://viaf.org/viaf/39656066,39656066,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0014
15,Wisteria: Twilight Poems from the Swamp Country,"Dawes, Kwame Senu Neville",Red Hen Press,,May 2006,Poetry,2006,"Los Angeles, CA",cau,9781597090599,63790865,http://viaf.org/viaf/65093267,65093267,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0015
16,This One Tree,"Peterson, Katie",New Issues Press,New Issues Poetry & Prose,May 2006,Poetry,2006,"Kalamazoo, MI",miu,9781930974616,69733926,http://viaf.org/viaf/12064096,12064096,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0016
17,Co,"Andrews, Bruce",Roof Books,,May 2006,Poetry,2006,"New York, NY",nyu,9781931824194,69996339,http://viaf.org/viaf/49285497,49285497,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0017
18,Daode Jing,"Laozi ; Meyer, Thomas (translator)",Flood Editions,,May 2006,Poetry,2005,"Chicago, IL",ilu,9780974690278,62874684,http://viaf.org/viaf/953149068437265730004,953149068437265730004,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0018
19,Shadows of Houses,"Hix, H.L.",Etruscan Press,,May 2006,Poetry,2005,"Youngstown, OH",ohu,9780974599540,56316125,http://viaf.org/viaf/137790115,137790115,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0019
20,The Errant Thread,"Lipkin, Elline",Kore Press,,May 2006,Poetry,2006,"Tucson, AZ",azu,9781888553192,70047387,http://viaf.org/viaf/9605113,9605113,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0020
21,Drive: The First Quartet,"Cervantes, Lorna Dee",Wings Press,,May 2006,Poetry,2006,"San Antonio, TX",txu,9780930324544,60799721,http://viaf.org/viaf/7599149296252380670004,7599149296252380670004,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0021
22,Fantasies in Permeable Structures,"Elrick, Laura",Factory School,,May 2006,Poetry,2005,"Ottawa, IL",ilu,9781600010415,63915840,http://viaf.org/viaf/53876914,53876914,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0022
23,More Than an Athlete,"Thomas, Etan",Moore Black Press,,May 2006,Poetry,2004,"Atlanta, GA",gau,9780965830898,58434603,http://viaf.org/viaf/58827447,58827447,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0023
24,Night with Drive-by Shooting Stars,"Daniels, Jim",New Issues Press,New Issues Poetry & Prose,May 2006,Poetry,2002,"Kalamazoo, MI",miu,9781930974159,49613444,http://viaf.org/viaf/13503160,13503160,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0024
25,Oqposable Thumb,"Elliot, Joe ; Elliot, George (illustrator)",Subpress,,May 2006,Poetry,2006,"Berkeley, CA",cau,9781930068346,69662073,http://viaf.org/viaf/19303342,19303342,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0025
26,Spade: Cantos 1-33,"Bromige, David ; Denner, Richard",DPress,,May 2006,Poetry,2005,"Sebastopol, CA",cau,9780976351108,61387041,http://viaf.org/viaf/7436750 ; http://viaf.org/viaf/30919599,7436750 ; 30919599,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0026
27,"What to Eat, What to Drink, What to Leave for Poison: Poetry","Dungy, Camille T.",Red Hen Press,,May 2006,Poetry,2006,"Los Angeles, CA",cau,9781597090001,65216733,http://viaf.org/viaf/60956725,60956725,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0027
28,Borderless Bodies,"Dinh, Linh",Factory School,,May 2006,Poetry,2005,"Ottawa, IL",ilu,9781600010422,68113331,http://viaf.org/viaf/287149196473474791489,287149196473474791489,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0028
29,Breaking Ground,"Hunter, Paul",Silverfish Review Press,,May 2006,Poetry,2004,"Eugene, OR",oru,9781878851208,54958654,http://viaf.org/viaf/58193830,58193830,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0029
30,Some Clear Souvenir,"Grinnell, E. Tracy",O Books,,May 2006,Poetry,2006,"Oakland, CA",cau,9781882022595,68729967,http://viaf.org/viaf/56266783,56266783,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0030
1,Bay Poetics,"Young, Stephanie (editor)",Faux Press,,June 2006,Poetry,2006,"Cambridge, MA",mau,9780976521136,70110282,http://viaf.org/viaf/29275528,29275528,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0031
2,Spirits Distilled: Poems,"Coleman, Jeffrey Lamar",Red Hen Press,,June 2006,Poetry,2006,"Los Angeles, CA",cau,9781597090490,68127206,http://viaf.org/viaf/79145542627096642216,79145542627096642216,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0032
3,Shadow Evidence Intelligence: and Other Formal Disruptions,"Prevallet, Kristin",Factory School,,June 2006,Poetry,2006,"Ottawa, IL",ilu,9781600010477,70638058,http://viaf.org/viaf/262118713,262118713,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0033
4,Fruitlands,"Colby, Kate",Litmus Press,,June 2006,Poetry,2006,"Brooklyn, NY",nyu,9780972333191,70661586,http://viaf.org/viaf/2238432,2238432,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0034
5,Saint Ghetto of the Loans: Grimoire,"Pomerand, Gabriel ; Kasper, Michael (translator) ; Viswanathan, Bhamati (translator)",Ugly Duckling Presse,,June 2006,Poetry,2006,"Brooklyn, NY",nyu,9781933254180,64289249,http://viaf.org/viaf/37020784,37020784,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0035
6,Do Not Awaken Them with Hammers: Poems,"Dimkovska, Lidija ; Arsovska, Ljubica (translator) ; Reid, Peggy (translator)",Ugly Duckling Presse,,June 2006,Poetry,2006,"Brooklyn, NY",nyu,9781933254142,64289274,http://viaf.org/viaf/166699195 ; http://viaf.org/viaf/255319757 ; http://viaf.org/viaf/311325098,166699195 ; 255319757 ; 311325098,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0036
7,Flim-Yoked Scrim,"Ward, Diane",Factory School,,June 2006,Poetry,2006,"Ottawa, IL",ilu,9781600010453,70661966,http://viaf.org/viaf/75313759,75313759,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0037
8,What is Said to the Poet Concerning Flowers,"Stefans, Brian Kim",Factory School,,June 2006,Poetry,2006,"Ottawa, IL",ilu,9781600010484,70632724,http://viaf.org/viaf/265064436,265064436,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0038
9,Isa the Truck Named Isadore: Poems,"Nadelberg, Amanda",Slope Editions,,June 2006,Poetry,2006,"Raymond, NH",nhu,9780977769803,63195921,http://viaf.org/viaf/41261975,41261975,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0039
10,Mediated,"Mirakove, Carol",Factory School,,June 2006,Poetry,2006,"Ottawa, IL",ilu,9781600010491,70661546,http://viaf.org/viaf/78404916,78404916,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0040
11,Some Notes on My Programming,"Berrigan, Anselm",Edge Books,,June 2006,Poetry,2005,"Washington, DC",dcu,9781890311209,68810649,http://viaf.org/viaf/51972890,51972890,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0041
12,Amplified Dog: Poems,"Webb, Charles Harper",Red Hen Press,,June 2006,Poetry,2006,"Los Angeles, CA",cau,9781597090223,70661990,http://viaf.org/viaf/36077392,36077392,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0042
13,Mainstream: Poems,"Magee, Michael",BlazeVOX Books,BlazeVOX [books],June 2006,Poetry,2006,"Buffalo, NY",nyu,9781934289013,70670140,http://viaf.org/viaf/69168507110748490870,69168507110748490870,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0043
14,Solution Simulacra,"Frym, Gloria",United Artists,United Artists Books,June 2006,Poetry,2006,"New York, NY",nyu,9780935992397,70637946,http://viaf.org/viaf/62823797,62823797,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0044
15,Tracheal Centrifuge,"Carll, Steve",Factory School,,June 2006,Poetry,2006,"Ottawa, IL",ilu,9781600010460,70601480,http://viaf.org/viaf/75908056,75908056,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0045
16,The Business of Fancydancing,"Alexie, Sherman",Hanging Loose Press,,June 2006,Poetry,1992,"Brooklyn, NY",nyu,9780914610007,24503541,http://viaf.org/viaf/46892548,46892548,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0046
17,In the Absent Everyday,"Dhompa, Tsering Wangmo",Apogee Press,,June 2006,Poetry,2005,"Berkeley, CA",cau,9780974468778,60195510,http://viaf.org/viaf/24288439,24288439,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0047
18,Bad History,"Watten, Barrett",Atelos,,June 2006,Poetry,1998,"Berkeley, CA",cau,9781891190025,39090357,http://viaf.org/viaf/94690309,94690309,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0048
19,Down With the Ship,"Murphy, Ryan",Otis Books | Seismicity Editions,,June 2006,Poetry,2006,"Los Angeles, CA",cau,9780975592458,65178220,http://viaf.org/viaf/297785190,297785190,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0049
20,Eunoia,"Bök, Christian",Coach House Press,Coach House Books,June 2006,Poetry,2001,"Toronto, ON",onc,9781552450925,47271372,http://viaf.org/viaf/56843291,56843291,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0050
21,On the Side of the Crow,"Gholson, Christien",Hanging Loose Press,,June 2006,Poetry,2006,"Brooklyn, NY",nyu,9781931236560,751804623,http://viaf.org/viaf/26607118,26607118,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0051
22,In the American Tree,"Silliman, Ronald (editor)",National Poetry Foundation,,June 2006,Poetry,2002,"Orono, ME",meu,9780943373515,45951719,http://viaf.org/viaf/112184153,112184153,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0052
23,Borderless Bodies,"Dinh, Linh",Factory School,,June 2006,Poetry,2005,"Ottawa, IL",ilu,9781600010422,68113331,http://viaf.org/viaf/287149196473474791489,287149196473474791489,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0053
24,Musee Mechanique,"Koeneke, Rodney",BlazeVOX Books,BlazeVOX [books],June 2006,Poetry,2006,"Buffalo, NY",nyu,9780975922804,70637919,http://viaf.org/viaf/19054783,19054783,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0054
25,Things of Each Possible Relation Hashing Against One Another,"Spahr, Juliana",Palm Press,,June 2006,Poetry,2003,"Newfield, NY",nyu,9780974318103,53868554,http://viaf.org/viaf/1147904924279090653,1147904924279090653,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0055
26,Smuggling Cherokee,"Shuck, Kim",Greenfield Review Press,,June 2006,Poetry,2005,"Greenfield Center, NY",nyu,9780878861460,70638003,http://viaf.org/viaf/21913272,21913272,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0056
27,Mulberry,"Beachy-Quick, Dan",Tupelo Press,,June 2006,Poetry,2006,"Dorset, VT",vtu,9781932195248,69926650,http://viaf.org/viaf/73213961,73213961,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0057
28,The Stupefying Flashbulbs,"Brenner, Daniel",Fence Books,,June 2006,Poetry,2006,"Hanover, NH",nhu,9780977106431,70180608,http://viaf.org/viaf/36675673,36675673,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0058
29,Deer Head Nation,"Mohammad, K. Silem",Tougher Disguises Press,Tougher Disguises,June 2006,Poetry,2003,"Oakland, CA",cau,9780974016702,53816091,http://viaf.org/viaf/73533274,73533274,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0059
30,Ing Grish: Poems,"Yau, John",Saturnalia Books,,June 2006,Poetry,2005,"Philadelphia, PA",pau,9780975499023,62738052,http://viaf.org/viaf/32010539,32010539,https://web.archive.org/web/20061002052407/http://spdbooks.org/GEN2006JuneBest.asp,SPD0060
1,The Business of Fancydancing,"Alexie, Sherman",Hanging Loose Press,,July 2006,Poetry,1992,"Brooklyn, NY",nyu,9780914610007,24503541,http://viaf.org/viaf/46892548,46892548,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0061
2,The Novice Mourner,"McKinney, Joshua",Bear Star Press,,July 2006,Poetry,2005,"Cohasset, CA",cau,9780971960763,61717774,http://viaf.org/viaf/29130740,29130740,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0062
3,Black Dog Songs,"Jarnot, Lisa",Flood Editions,,July 2006,Poetry,2003,"Chicago, IL",ilu,9780971005990,54000608,http://viaf.org/viaf/106736247,106736247,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0063
4,Poeta en San Francisco,"Reyes, Barbara Jane",Tinfish Press,,July 2006,Poetry,2005,"Kaneohe, HI",hiu,9780975937648,64592337,http://viaf.org/viaf/24351223,24351223,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0064
5,Do Not Awaken Them with Hammers: Poems,"Dimkovska, Lidija ; Arsovska, Ljubica (translator) ; Reid, Peggy (translator)",Ugly Duckling Presse,,July 2006,Poetry,2006,"Brooklyn, NY",nyu,9781933254142,64289274,http://viaf.org/viaf/166699195 ; http://viaf.org/viaf/255319757 ; http://viaf.org/viaf/311325098,166699195 ; 255319757 ; 311325098,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0065
6,Petroleum Hat,"Gardner, Drew",Roof Books,,July 2006,Poetry,2005,"New York, NY",nyu,9781931824170,62863178,http://viaf.org/viaf/73500555,73500555,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0066
7,Daphne's Lot,"Abani, Chris",Red Hen Press,,July 2006,Poetry,2003,"Los Angeles, CA",cau,9781888996623,52280443,http://viaf.org/viaf/61872289,61872289,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0067
8,The Long Night of Flying: Poems,"Olson, Sharon",Sixteen Rivers Press,,July 2006,Poetry,2006,"San Francisco, CA",cau,9780976764212,65518080,http://viaf.org/viaf/12081635,12081635,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0068
9,Doubled Flowering: From the Notebooks of Araki Yasusada,"Johnson, Kent",Roof Books,,July 2006,Poetry,1997,"New York, NY",nyu,9780937804711,38188421,http://viaf.org/viaf/45792290,45792290,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0069
10,Remainland: Selected Poems of Aase Berg,"Berg, Aase ; Göransson, Johannes (translator)","Action Books, Inc.",Action Books,July 2006,Poetry,2005,"Tuscaloosa, AL",alu,9780976569206,62077615,http://viaf.org/viaf/37098419,37098419,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0070
11,The World is Round: Poems,"Finney, Nikky",InnerLight Publishing,,July 2006,Poetry,2003,"Atlanta, GA",gau,9780971489035,50695231,http://viaf.org/viaf/210225289,210225289,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0071
12,The Weather,"Goldsmith, Kenneth",Make Now Press,,July 2006,Poetry,2005,"Los Angeles, CA",cau,9780974355429,60345077,http://viaf.org/viaf/26295941,26295941,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0072
13,Blood Almanac,"Longhorn, Sandy",Anhinga Press,,July 2006,Poetry,2006,"Tallahassee, FL",flu,9780938078913,70835686,http://viaf.org/viaf/9627693,9627693,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0073
14,The Lives of a Spirit ; Glasstown: Where Something Got Broken,"Howe, Fanny",Nightboat Books,,July 2006,Poetry,2005,"Beacon, NY",nyu,9780976718512,59881703,http://viaf.org/viaf/41984311,41984311,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0074
15,Pamela: A Novel,"Lu, Pamela",Atelos,,July 2006,Poetry,1998,"Berkeley, CA",cau,9781891190049,40939977,http://viaf.org/viaf/55947443,55947443,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0075
16,The Errant Thread,"Lipkin, Elline",Kore Press,,July 2006,Poetry,2006,"Tucson, AZ",azu,9781888553192,70047387,http://viaf.org/viaf/9605113,9605113,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0076
17,Telemachiad,"Scharf, Mike",Sugarhigh!,,July 2006,Poetry,2006,Not Identified,xx,9780967803197,70716617,http://viaf.org/viaf/305129353,305129353,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0077
18,"Encyclopedia Volume 1, A-E","Bryant, Tisa (editor) ; Mellis, Miranda F. (editor) ; Schatz, Kate (editor)",Encyclomedia,,July 2006,Poetry,2006,"Providence, RI",riu,9780977344307,71829994,http://viaf.org/viaf/61094906 ; http://viaf.org/viaf/14733086 ; http://viaf.org/viaf/39340364,61094906 ; 14733086 ; 39340364,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0078
19,Mohawk/Samoa: Transmigrations,"Stevens, James Thomas ; Sinavaiana, Caroline",Subpress,,July 2006,Poetry,2005,"Oakland, CA",cau,9781930068308,64716079,http://viaf.org/viaf/11651218 ; http://viaf.org/viaf/10148996077359752812,11651218 ; 10148996077359752812,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0079
20,"Red Kimono, Yellow Barn: Poems","Hassler, David",Bedbug Press,,July 2006,Poetry,2005,"Brownsville, OR",oru,9780977197309,64712514,http://viaf.org/viaf/103892912,103892912,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0080
21,Watchword,"Fuller, William",Flood Editions,,July 2006,Poetry,2006,"Chicago, IL",ilu,9780974690292,70835701,http://viaf.org/viaf/5167500699492800203,5167500699492800203,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0081
22,Spell,"Beachy-Quick, Dan",Ahsahta Press,,July 2006,Poetry,2004,"Boise, ID",idu,9780916272784,53369235,http://viaf.org/viaf/73213961,73213961,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0082
23,The Confessions of Doc Williams & Other Poems,"Heyen, William",Etruscan Press,,July 2006,Poetry,2006,"Youngstown, OH",ohu,9780974599557,62088141,http://viaf.org/viaf/97903062,97903062,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0083
24,Radi Os,"Johnson, Ronald",Flood Editions,,July 2006,Poetry,2005,"Chicago, IL",ilu,9780974690247,61247889,http://viaf.org/viaf/103770227,103770227,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0084
25,The Arab Apocalypse,"Adnan, Etel",The Post-Apollo Press,,July 2006,Poetry,1989,"Sausalito, CA",cau,9780942996098,18815069,http://viaf.org/viaf/97064828,97064828,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0085
26,(Dis)Orient,"Stevens, James Thomas",Palm Press,,July 2006,Poetry,2005,"Long Beach, CA",cau,9780974318134,62154410,http://viaf.org/viaf/11651218,11651218,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0086
27,Occupational Treatment,"Brady, Taylor",Atelos,,July 2006,Poetry,2006,"Berkeley, CA",cau,9781891190223,70835721,http://viaf.org/viaf/9549602,9549602,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0087
28,Threads,"Kelly, Robert",First Intensity Press,,July 2006,Poetry,2006,"Lawrence, KS",ksu,9781889960111,70835685,http://viaf.org/viaf/306342501,306342501,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0088
29,Oulipo Compendium (Revised Edition),"Mathews, Harry (editor) ; Brotchie, Alastair (editor)",Atlas Press ; Make Now Press,,July 2006,Poetry,2005,"Los Angeles, CA",cau,9781900565189,470747726,http://viaf.org/viaf/98040478 ; http://viaf.org/viaf/11486254,98040478 ; 11486254,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0089
30,"The Final Nite & Other Poems: Complete Notes From a Charles Gayle Notebook, 1987-2006","Dalachinsky, Steve",Ugly Duckling Presse,,July 2006,Poetry,2006,"Brooklyn, NY",nyu,9781933254159,68133154,http://viaf.org/viaf/102438375,102438375,https://web.archive.org/web/20061002051844/http://spdbooks.org/GEN2006JUlyBest.asp,SPD0090
1,Poeta en San Francisco,"Reyes, Barbara Jane",Tinfish Press,,August 2006,Poetry,2005,"Kaneohe, HI",hiu,9780975937648,64592337,http://viaf.org/viaf/24351223,24351223,https://web.archive.org/web/20061002045434/http://spdbooks.org/GENpoetrybestsellers.asp,SPD0091
2,Nets: the Sonnets of William Shakespeare,"Bervin, Jen",Ugly Duckling Presse,,August 2006,Poetry,2004,"Brooklyn, NY",nyu,9780972768436,54863397,http://viaf.org/viaf/103680307,103680307,https://web.archive.org/web/20061002045434/http://spdbooks.org/GENpoetrybestsellers.asp,SPD0092
3,"Encyclopedia Volume 1, A-E","Bryant, Tisa (editor) ; Mellis, Miranda F. (editor) ; Schatz, Kate (editor)",Encyclomedia,,August 2006,Poetry,2006,"Providence, RI",riu,9780977344307,71829994,http://viaf.org/viaf/61094906 ; http://viaf.org/viaf/14733086 ; http://viaf.org/viaf/39340364,61094906 ; 14733086 ; 39340364,https://web.archive.org/web/20061002045434/http://spdbooks.org/GENpoetrybestsellers.asp,SPD0093
4,The Business of Fancydancing,"Alexie, Sherman",Hanging Loose Press,,August 2006,Poetry,1992,"Brooklyn, NY",nyu,9780914610007,24503541,http://viaf.org/viaf/46892548,46892548,https://web.archive.org/web/20061002045434/http://spdbooks.org/GENpoetrybestsellers.asp,SPD0094
5,First Indian on the Moon,"Alexie, Sherman",Hanging Loose Press,,August 2006,Poetry,1993,"Brooklyn, NY",nyu,9781882413034,28632265,http://viaf.org/viaf/46892548,46892548,https://web.archive.org/web/20061002045434/http://spdbooks.org/GENpoetrybestsellers.asp,SPD0095
