,id,author1,author1_normalized,author2,author3,author4,author_authorized_heading,author_lccn,author_viaf,author_wikidata_qid,date,htid,hathi_rights,title,imprint,isbn,isbn_most_common_edition,lccn,oclc,oclc_owi,oclc_eholdings,oclc_holdings,person_id,place,publisher_marc
757,6898,"Jen, Gish.","Jen, Gish",,,,"Jen, Gish",n90694682,97932980,Q5564935,1991,mdp.39015021534204,ic,Typical American / Gish Jen.,"Houghton Mifflin/S. Lawrence, 1991.",['0395546893 :'],0395546893,['90048423'],['22489373'],9491565.0,46.0,1833.0,1450,mau,Houghton Mifflin/S. Lawrence
758,6899,"Dobyns, Stephen 1941-","Dobyns, Stephen",,,,"Dobyns, Stephen, 1941-",n50027452,85546337,Q7609076,1991,mdp.39015019480527,ic,"After shocks, near escapes / Stephen Dobyns.","Viking, 1991.",['0670839140 :'],0670839140,['90050920'],['22766809'],20553846.0,11.0,384.0,287,nyu,Viking
759,6900,"Bly, Robert.","Bly, Robert",,,,"Bly, Robert",n79054927,79847862,Q472507,9999,umn.31951p002773400,ic,Commentary on the fairy tale Iron John / Robert Bly.,"Ally Press : Distributed by Bookpeople, c1987-",['0915408317 (v. 1) :'],0915408317,['88006314'],['17674659'],15783058.0,2.0,31.0,5,mnu,Ally Press :
760,6901,"Simmons, Thomas 1956-","Simmons, Thomas",,,,"Simmons, Thomas, 1956-",n90708627,16396152,,1991,mdp.39015019850711,ic,The unseen shore : memories of a Christian Science childhood / Thomas Simmons.,"Beacon Press, c1991.",['0807010189'],0807010189,['90022936'],['22660583'],24044257.0,11.0,196.0,3221,mau,Beacon Press
761,6902,"Gurganus, Allan 1947-","Gurganus, Allan",,,,"Gurganus, Allan, 1947-",n88141863,49277673,Q1805285,1991,mdp.39015019834764,ic,White people / Allan Gurganus.,"Alfred A. Knopf, 1991.",['039458841X'],039458841X,['90052943'],['22766920'],13215235.0,76.0,1270.0,861,nyu,Alfred A. Knopf
762,6903,"Carver, Raymond 1938-1988","Carver, Raymond","Adelman, Bob.",,,"Carver, Raymond, 1938-1988",n80113040,88660538,Q219862,1990,mdp.39015019654550,ic,Carver country : the world of Raymond Carver / photographs by Bob Adelman ; introduction by Tess Gallagher.,"Scribner ; Collier Macmillan Canada, c1990.",['0684191660 :'],0684191660,['90038010'],['21593348'],478103982.0,20.0,489.0,3683,nyu,Scribner ;
763,6904,"Will, Frederic.","Will, Frederic",,,,"Will, Frederic",n79089755,29549500,Q5497167,1990,mdp.39015019662223,ic,"A portrait of John : the Midwest and the world, 1928-1984 / Frederic Will.","Wayne State University Press, 1990.",['0814321399 (alk. paper)'],0814321399,['89049005'],['20755360'],432634872.0,10.0,125.0,4345,miu,Wayne State University Press
764,6905,"Dobyns, Stephen 1941-","Dobyns, Stephen",,,,"Dobyns, Stephen, 1941-",n50027452,85546337,Q7609076,1990,mdp.39015019652273,ic,Body traffic : poems / by Stephen Dobyns.,"Viking, 1990.",['0670830887 :'],0670830887,['90050003'],['21195629'],22811232.0,22.0,312.0,287,nyu,Viking
765,6906,"Coulette, Henri 1927-1988","Coulette, Henri","Mezey, Robert.","Justice, Donald 1925-2004",,"Coulette, Henri, 1927-1988",n90628592,9923525,Q5715395,1990,uc1.b4432342,ic,The collected poems of Henri Coulette / edited with an introduction by Donald Justice and Robert Mezey.,"University of Arkansas Press, 1990.","['1557281459 (pbk. : alk. paper)', '1557281440 (case : alk. paper)']",1557281440,['90035842'],['21448000'],23851843.0,3.0,191.0,65,aru,University of Arkansas Press
766,6907,"Tate, James 1943-","Tate, James",,,,"Tate, James, 1943-2015",n78094025,57136,Q531155,1990,mdp.39015019622557,ic,Distance from loved ones / James Tate.,"Published by University Press of New England [for] Wesleyan University Press, c1990.",['0819511919 (pbk. : alk. paper) :'],0819511919,['89070659'],['20799562'],2795993.0,18.0,364.0,345,nhu,Published by University Press of New England [for] Wesleyan University Press
