id	author1	author1_normalized	author2	author3	author4	author_authorized_heading	author_lccn	author_viaf	author_wikidata_qid	date	htid	hathi_rights	title	imprint	isbn	isbn_most_common_edition	lccn	oclc	oclc_owi	oclc_eholdings	oclc_holdings	person_id	place	publisher_marc
6556	Hejinian, Lyn.	Hejinian, Lyn				Hejinian, Lyn	n82071099	44325651	Q6708326	2002	mdp.39015057609466	ic	Slowly / by Lyn Hejinian.	Tuumba Press, c2002.	['1931157022']	1931157022	[]	['50141515']	6548402	2	87	3672	xx	Tuumba Press
6557	Huneven, Michelle 1953-	Huneven, Michelle				Huneven, Michelle, 1953-	n97015243	1748496	Q6837086	2003	mdp.39015060005371	ic	Jamesland / Michelle Huneven.	Alfred A. Knopf, 2003.	['0375413820']	0375413820	['2003040070']	['51631324']	5619717532	50	592	1014	nyu	Alfred A. Knopf
6558	Castellanos Moya, Horacio 1957-	Castellanos Moya, Horacio				Castellanos Moya, Horacio, 1957-	n80087278	10068135	Q719545	2003	mdp.39015059977465	ic	Donde no est̩n ustedes / Horacio Castellanos Moya.	Tusquets Editores, 2003.	['9706990704']	9706990704	['2003449667']	['52312312']	841185	3	175	3100	mx	Tusquets Editores
6559	Orringer, Julie.	Orringer, Julie				Orringer, Julie	n2002048696	42095374	Q13563079	2003	mdp.39015059970742	ic	How to breathe underwater : stories / Julie Orringer.	Alfred A. Knopf, 2003.	['1400041112']	1400041112	['2002043436']	['51304048']	753131	101	959	87	nyu	Alfred A. Knopf
6560	Kittredge, William.	Kittredge, William				Kittredge, William	n77016661	93349615	Q3568766	2003	mdp.39015060009084	ic	The best short stories of William Kittredge.	Graywolf Press, c2003.	['1555973841']	1555973841	['2002111861']	['51678649']	329522595	11	265	459	mnu	Graywolf Press
6561	Vanderbes, Jennifer	Vanderbes, Jennifer				Vanderbes, Jennifer	n2002039897	87401843	Q6178906	2003	uc1.32106017418036	ic	Easter Island / Jennifer Vanderbes	Dial Press, c2003	['038533673X']	038533673X	['2002031588']	['50561763']	3860636574	100	1172	2482	nyu	Dial Press
6562	Harrison, Kathryn.	Harrison, Kathryn				Harrison, Kathryn	n90649391	90726799	Q2917259	2003	mdp.39015056801296	ic	Seeking rapture : scenes from a woman's life / Kathryn Harrison.	Random House, c2003.	['037550558X (acid-free paper)']	037550558X	['2001041755']	['47208540']	864879415	77	420	3546	nyu	Random House
6563	Galvin, James.	Galvin, James				Galvin, James	n80083528	91815764	Q6134459	2003	mdp.39015056801262	ic	X : poems / by James Galvin.	Copper Canyon Press, c2003.	['1556591918 (alk. paper)']	1556591918	['2002154675']	['51177977']	312475236	3	233	1000	wau	Copper Canyon Press
6564	Tate, James 1943-	Tate, James				Tate, James, 1943-2015	n78094025	57136	Q531155	2003	mdp.39015056817086	ic	Lost river / James Tate.	Sarabande Books, c2003.	['1889330841 (pbk. : alk. paper)']	1889330841	['2002007235']	['49823347']	1068722	3	148	345	kyu	Sarabande Books
6565	Smiley, Jane.	Smiley, Jane				Smiley, Jane	n79143875	19714915	Q441067	2003	mdp.39015056671178	ic	Good faith / Jane Smiley.	A.A. Knopf, c2003.	['0375412174']	0375412174	['2002073096']	['50129401']	687194	111	2351	969	nyu	A.A. Knopf
6566	Haldeman, Joe W.	Haldeman, Joe W.				Haldeman, Joe W.	n50018607	59083671	Q347461	2002	mdp.39015056670014	ic	Guardian / Joe Haldeman.	Ace Books, 2002.	['0441009778 (alk. paper)']	0441009778	['2002021444']	['49386217']	16163262	51	483	863	nyu	Ace Books
6567	O'Connor, Flannery.	O'Connor, Flannery	Ellsberg, Robert 1955-			O'Connor, Flannery	n79119229	17227472	Q234579	2003	mdp.39015056658431	ic	Flannery O'Connor : spiritual writings / edited by Robert Ellsberg ; introduction by Richard Giannone.	Orbis Books, c2003.	['1570754705 (pbk.)']	1570754705	['2002152355']	['50906256']	289572591	2	525	4328	nyu	Orbis Books
6568	Szybist, Mary 1970-	Szybist, Mary				Szybist, Mary, 1970-	n2002042294	9206280	Q6780804	2003	mdp.39015056671228	ic	Granted / Mary Szybist.	Alice James Books, c2003.	['1882295374']	1882295374	['2002015865']	['50722370']	1067907	2	349	2270	meu	Alice James Books
6569	Revell, Donald 1954-	Revell, Donald				Revell, Donald, 1954-	n82162357	59102325	Q5295056	2003	mdp.39015056670899	ic	My Mojave : poems / by Donald Revell.	Alice James Books, c2003.	['1882295404']	1882295404	['2002015864']	['50722364']	198863777	11	225	3639	meu	Alice James Books
